Label,Sentence,cleaned_text,tokenized_text,processed_text
neutral,आप अपने हाथ भरे होंगे।,आप अपन हथ भर हग,आप अपन हथ भर हग,आप अपन हथ भर हग
neutral,कि मैंने किया। कि मैंने किया।,क मन कय क मन कय,क मन कय क मन कय,क मन कय क मन कय
neutral,तो चलो अपने कर्तव्यों के बारे में थोड़ा बात करें।,त चल अपन करतवय क बर म थड बत कर,त चल अपन करतवय क बर म थड बत कर,त चल अपन करतवय क बर म थड बत कर
surprise,मेरे कर्तव्य? ठीक है.,मर करतवय ठक ह,मर करतवय ठक ह,मर करतवय ठक ह
neutral,"अब आप एक पूरे डिवीजन का नेतृत्व करेंगे, तो आप बहुत सारे कर्तव्य होंगे.",अब आप एक पर डवजन क नततव करग त आप बहत सर करतवय हग,अब आप एक पर डवजन क नततव करग त आप बहत सर करतवय हग,अब आप एक पर डवजन क नततव करग त आप बहत सर करतवय हग
neutral,मैं देखता हूँ।,म दखत ह,म दखत ह,म दखत ह
neutral,लेकिन वहाँ शायद 30 लोग आपके नीचे होंगे तो आप उन पर एक निश्चित मात्रा फेंक सकते हैं।,लकन वह शयद 30 लग आपक नच हग त आप उन पर एक नशचत मतर फक सकत ह,लकन वह शयद 30 लग आपक नच हग त आप उन पर एक नशचत मतर फक सकत ह,लकन वह शयद 30 लग आपक नच हग त आप उन पर एक नशचत मतर फक सकत ह
neutral,जानना अच्छा है।,जनन अचछ ह,जनन अचछ ह,जनन अचछ ह
neutral,हम विस्तार में जा सकते हैं,हम वसतर म ज सकत ह,हम वसतर म ज सकत ह,हम वसतर म ज सकत ह
fear,मैं तुमसे नहीं माँगता!,म तमस नह मगत,म तमस नह मगत,म तमस नह मगत
neutral,"ठीक है तो, हम तुम के लिए Pazartesi को एक निश्चित जवाब है, लेकिन मुझे लगता है कि मैं कुछ विश्वास के साथ कह सकता हूँ, आप यहाँ अच्छी तरह से फिट होगा।",ठक ह त हम तम क लए Pazartesi क एक नशचत जवब ह लकन मझ लगत ह क म कछ वशवस क सथ कह सकत ह आप यह अचछ तरह स फट हग,ठक ह त हम तम क लए Pazartesi क एक नशचत जवब ह लकन मझ लगत ह क म कछ वशवस क सथ कह सकत ह आप यह अचछ तरह स फट हग,ठक ह त हम तम क लए Pazartesi क एक नशचत जवब ह लकन मझ लगत ह क म कछ वशवस क सथ कह सकत ह आप अचछ तरह स फट हग
surprise,सचमुच?,सचमच,सचमच,सचमच
neutral,निश्चित रूप से. आप आराम कर सकते हैं,नशचत रप स आप आरम कर सकत ह,नशचत रप स आप आरम कर सकत ह,नशचत रप स आप आरम कर सकत ह
surprise,लेकिन फिर कौन? मैं पिछले महीने के साथ बाहर गया था रेस्तरां?,लकन फर कन म पछल महन क सथ बहर गय थ रसतर,लकन फर कन म पछल महन क सथ बहर गय थ रसतर,लकन फर कन म पछल महन क सथ बहर गय थ रसतर
sadness,तुम्हें पता है? इसे भूल जाओ!,तमह पत ह इस भल जओ,तमह पत ह इस भल जओ,तमह पत ह इस भल जओ
surprise,"नहीं-नहीं-नहीं, नहीं! कौन, तुम किस बारे में बात कर रहे थे?",नहनहनह नह कन तम कस बर म बत कर रह थ,नहनहनह नह कन तम कस बर म बत कर रह थ,नहनहनह नह कन तम कस बर म बत कर रह थ
